Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
ISCED-F 021,ISCED-F 0213,0213 Fine arts,"<p></p><div><b>Fine  arts</b> is  the  study  of  visual  forms  of  creative  expression,  dealing  with  theory,  history, techniques, performance and production in fine arts.  </div><div><br />Programmes and qualifications with the following main content are classified here: </div><ul><li>Art theory </li><li>Calligraphy </li><li>Etching </li><li>Fine art printmaking </li><li>History of art </li><li>Painting  </li><li>Philosophy of art </li><li>Sculpture</li></ul><p></p><div><i>Exclusions:  </i></div><div>Training in <i>ceramics, pottery etc.</i> is excluded from this detailed field and included in detailed field 0214 ‘Handicrafts’. </div><div><br /><i>Study of architecture</i> is excluded from this detailed field and included in  detailed field 0731 ‘Architecture and town planning’. </div><div><br /><i>Teacher training</i> in arts is excluded from this detailed field and included in detailed field 0114 ‘Teacher training with subject specialisation’. </div>",1,,,,0,null,,20,,
ISCED-F 021,ISCED-F 0214,0214 Handicrafts,"<p></p><div><b>Handicrafts</b> is  the  study  of  techniques  and  skills  in  a  chosen  craft,  such  as  jewellery, pottery, weaving, woodcarving etc.   </div><div><br />Programmes and qualifications with the following main content are classified here: </div><ul><li>Ceramics </li><li>Crafts, folk arts and artisan </li><li>Decorative metal crafts </li><li>Indigenous crafts </li><li>Embroidery  </li><li>Floristry (flower arranging)   </li><li>Glass arts and craft </li><li>Goldsmithing </li><li>Jewellery </li><li>Making of musical instruments (not industrial) </li><li>Musical instruments (repairing and tuning) </li><li>Silversmithing </li><li>Stone carving (craft) </li><li>Weaving (craft) </li><li>Woodcarving </li></ul><p></p><div><i>Exclusions:  </i></div><div>Study  of <i>industrial  (large  scaled  mechanised)  production</i> of  pottery,  woven  materials, embroidery  etc.  is  excluded  from  this  field  and  included  in  one  of  the  detailed  fields  under broad field 07 ‘Engineering, manufacturing and construction’. </div>",1,,,,0,null,,21,,
ISCED-F 021,ISCED-F 0215,0215 Music and performing arts,"<p></p><div><b>Music  and  performing  arts</b> is  the  study  of  the  principles  and  techniques  associated  with performance involving music, speech, movement, mime, characterisation, improvisation and stage craft.  </div><div><br />Programmes and qualifications with the following main content are classified here: </div><ul><li>Acting and directing </li><li>Ballet  </li><li>Choreography </li><li>Circus </li><li>Composition (music) </li><li>Conducting (music) </li><li>Creative and performance art </li><li>Dance  </li><li>Drama </li><li>History of film and theatre </li><li>History of music </li><li>Music </li><li>Music conducting </li><li>Musicology </li><li>Theatre/Theatre sciences</li></ul><p></p><div><i>Inclusions:  </i></div><div>Study of music and performing arts history and theory is included here.<br /><br /></div><div><i>Exclusions:  </i></div><div><i>Teacher training</i> in music and other performing arts is excluded from this detailed field and included in detailed field 0114 ‘Teacher training with subject specialisation’. </div><br />",1,,,,0,null,,22,,
ISCED-F 021,ISCED-F 0219,0219 Arts not elsewhere classified,,,,,,,,,,,
ISCED-F 02,ISCED-F 022,022 Humanities (except languages),,1,,,,0,null,,23,,
ISCED-F 022,ISCED-F 0220,0220 Humanities (except languages) not further defined ,,,,,,,,,,,
ISCED-F 022,ISCED-F 0221,0221 Religion and theology,"<p></p><div><b>Religion and theology</b> is the study of religious beliefs, concepts, symbols, expressions and texts of spirituality.  </div><div><br />Programmes and qualifications with the following main content are classified here: </div><ul><li>Religious history </li><li>Study of sacred books </li><li>Study of different religions </li><li>Theology</li></ul><p></p><div><i>Inclusions:  </i></div><div>Included in this detailed field are programmes for children and young people, usually given in religious schools or seminars, in monasteries etc, <i>aiming to develop an interest in the tenets of  their  religion</i> and  sufficient  familiarity  with  its  philosophy  to assist  in  the  propagation  of their faith.<br /><br /></div><div><i>Exclusions:  </i></div><div><i>Basic  programmes  given  in  religious  schools</i>,  seminars  etc.  containing  religious  instruction but not emphasising it or leading to a religious vocation, are excluded from this detailed field and included in 0011 ‘Basic programmes and qualifications’. <i>Islamic sharia</i> programmes and qualifications are excluded from this detailed field and included in detailed field 0421 ‘Law’.  </div>",1,,,,0,null,,24,,
ISCED-F 022,ISCED-F 0222,0222 History and archaeology,"<p></p><div><b>History</b> is   the   study   of   past   events,   especially   the   political,   social   and   economic development  of  a  country,  a  continent  or  the  world. History  of  medicine  is  classified  here, likewise  the  study  of  history  of  science  and  ideas. <b>Archaeology</b> is  the  study  of  ancient civilisations by scientific analysis of what is found in the ground.  </div><p></p><div>Programmes and qualifications with the following main content are classified here: </div><ul><li>Archaeology </li><li>Cultural history </li><li>Folklore studies </li><li>History </li><li>History of literature </li><li>History of medicine </li><li>History of science and ideas </li><li>History of technology</li></ul><p></p><div><i>Inclusions: </i></div><div><i>Restoration</i> and <i>preservation</i> of artistic heritage are included here.<br /><br /></div><div><i>Exclusions:  </i></div><div>Study of <i>literature combined with study of a specific language</i> is excluded from this detailed field and included in detailed field 0232 ‘Literature and linguistics’. </div><div><br />Study of <i>classical languages</i> (Latin etc.) is excluded from this detailed field and included in detailed field 0231 ‘Language acquisition’. </div><div><br />Study of <i>History of art</i> is excluded from this detailed field and included in detailed field 0213 ‘Fine arts’.<br /><br /></div><div>Study of <i>Music and performing arts history</i> is excluded from this detailed field and included in detailed field 0215 ‘Music and performing arts’. </div><div><br />Study  of<i> Economic  history/history  of  economics</i> is  excluded  from  this  detailed  field  and included in detailed field 0311 ‘Economics’. </div>",1,,,,0,null,,25,,
ISCED-F 022,ISCED-F 0223,0223 Philosophy and ethics,"<p></p><div><b>Philosophy and ethics</b> is the study of philosophy, ethics and related subjects dealing with the conception of life.  </div><div><br />Programmes and qualifications with the following main content are classified here: </div><ul><li>Ethics </li><li>Logic </li><li>Morals </li><li>Philosophy </li></ul><p></p><div><i>Exclusions:  </i></div><div>Study  of <i>religion</i> is  excluded  from  this  detailed  field  and  included in  detailed  field  0221 ‘Religion’.<br /><br /></div><div>Study  of <i>Philosophy  of  arts</i> is  excluded  from  this  detailed  field  and  is  included  in  detailed field 0213 ‘Fine arts'. </div>",1,,,,0,null,,26,,
ISCED-F 022,ISCED-F 0229,0229 Humanities (except languages) not elsewhere classified ,,,,,,,,,,,
ISCED-F 02,ISCED-F 023,023 Languages,,1,,,,0,null,,27,,
ISCED-F 023,ISCED-F 0230,0230 Languages not further defined ,,,,,,,,,,,
ISCED-F 023,ISCED-F 0231,0231 Language acquisition,"<p></p><div><b>Language acquisition</b> is the study of the structure and composition of languages taught as second or foreign languages (i.e. that are intended for non-native or non-fluent speakers of the language). It includes the study of related cultures, literature, linguistics and phonetics if related  to  the  specific  language  being  acquired  and forms  part  of  the  same  programme  or qualification.  Classical  or  dead  languages  are  included  here  as  it  is  assumed  there  are  no native  speakers  of the  language  and  hence  the  manner  of  teaching  and  the  content  of the curriculum are more similar to the teaching of foreign languages. </div><p></p><div>Programmes and qualifications with the following main content are classified here:  </div><ul><li>Classical languages </li><li>Exogenous languages  </li><li>Foreign languages  </li><li>Interpretation </li><li>Phonetics  </li><li>Second languages, for example English as a second language </li><li>Sign language  </li><li>Sign language interpreting </li><li>Translation </li></ul><p></p><div><i>Inclusions: </i></div><div><i>Language and linguistics studies</i> are included here if the linguistics are related to a specific language  or  languages  being  acquired  and  forming  part  of  the  same  programme  or qualification. Translation and interpretation are included here.<br /><br /></div><div><i>Exclusions: </i></div><div>The study of the <i>mother tongue</i> or <i>first language</i> (i.e. that are intended for native, fluent or competent speakers of the language), even if this language is not a national language of the country of study (e.g. programmes for immigrants learning their mother tongue) are excluded from this detailed field and included in detailed field 0232 ‘Literature and linguistics’.  </div>",1,,,,0,null,,28,,
ISCED-F 023,ISCED-F 0232,0232 Literature and linguistics,"<p></p><div><b>Literature  and  linguistics</b> is  here  defined as  the  study  of  language(s)  intended for  native, fluent or competent speakers of the language. It includes the study of related literature and linguistics and may or may not include the structure and composition of the language.<br /><br /></div><div>Programmes and qualifications with the following main content are classified here:  </div><ul><li>Creative writing  </li><li>First language  </li><li>Indigenous languages </li><li>Linguistics  </li><li>Literature  </li><li>“Mother tongue” languages  </li><li>Native first languages  </li></ul><p></p><div><i>Inclusions: </i></div><div>Languages <i>taught  as  the  first  language  (“mother  tongue”)</i>,  even  if  the  language  is  not the national language of the country of study (e.g. programmes for immigrants in their home or first language) are included here. Local and regional languages are included here if they are  first  languages  spoken  by  a  significant  minority  in  the  country  and  are  intended  for  at least competent speakers of the language.<br /><br /></div><div>Study  of <i>comparative  literature</i> is  included  here. Study  of <i>general  linguistics</i> (not  related  to the  study  of  a  particular  language)  is  included  here.  Study  of literature  in  general (not combined with study of a special language) is included here. </div><p></p><div><i>Exclusions: </i></div><div>Language  programmes  are  excluded  from  this  detailed field  if  the  language  is <i>taught  as  a foreign or a second language</i>, and are then included in 0231 ‘Language acquisition’.<br /><br /></div><div>Programmes  in <i>literacy and  numeracy</i> are  excluded from this  detailed field  and  included in detailed field 0021 ‘Literacy and numeracy’.  </div><div><br />Sign  language  programmes  are  excluded  from  this  detailed  field  and  included  in  detailed field 0231 ‘Language acquisition’. </div>",1,,,,0,null,,29,,
ISCED-F 023,ISCED-F 0239,0239 Languages not elsewhere classified ,,,,,,,,,,,
ISCED-F 02,ISCED-F 028,028 Inter-disciplinary programmes and qualifications involving arts and humanities,,1,,,,0,null,,30,,
ISCED-F 028,ISCED-F 0288,0288 Inter-disciplinary programmes and qualifications involving arts and humanities,<p></p><div>Inter-disciplinary programmes and qualifications to which the greatest intended learning time is devoted to arts and humanities are classified here. </div><br />,1,,,,0,null,,31,,
ISCED-F 02,ISCED-F 029,029 Arts and humanities not elsewhere classified ,,,,,,,,,,,
ISCED-F 029,ISCED-F 0299,0299 Arts and humanities not elsewhere classified ,,,,,,,,,,,
,ISCED-F 03,"03 Social Sciences, Journalism and Information",,1,,,,0,null,,32,,
ISCED-F 03,ISCED-F 030,"030 Social sciences, journalism and information not further defined ",,,,,,,,,,,
ISCED-F 030,ISCED-F 0300,"0300 Social sciences, journalism and information not further defined ",,,,,,,,,,,
ISCED-F 03,ISCED-F 031,031 Social and behavioural sciences,,1,,,,0,null,,33,,
ISCED-F 031,ISCED-F 0310,0310 Social and behavioural sciences not further defined ,,,,,,,,,,,
ISCED-F 031,ISCED-F 0311,0311 Economics,"<p></p><div><b>Economics</b> is  the  study  of  economic  policy,  economic  theory  and  economic  decision making.  </div><div><br />Programmes and qualifications with the following main content are classified here: </div><ul><li>Econometrics </li><li>Economic history </li><li>Economics </li><li>Political economics </li></ul><p></p><div><i>Exclusions:  </i></div><div>Study  of <i>economics  where  emphasis  is  given  to  business  studies</i> is  excluded  from  this detailed  field  and  classified  under  041  ‘Business  and  administration’.  Study  of <i>home economics</i> is  excluded  from  this  detailed  field  and  included in  the  detailed  field  1011 ‘Domestic services’.  </div><br />",1,,,,0,null,,34,,
ISCED-F 031,ISCED-F 0312,0312 Political sciences and civics,<p></p><div><b>Political sciences and civics</b> is the study of government and political principles or practice. The study of the rights and duties of the citizens are included here.  </div><div><br />Programmes and qualifications with the following main content are classified here: </div><ul><li>Civics </li><li>Human rights </li><li>International relations </li><li>Peace and conflict studies </li><li>Political history </li><li>Political science </li><li>Public policy studies </li></ul><p></p><div><i>Exclusions: </i></div><div>Study of <i>political economics</i> is excluded from this detailed field and included in the detailed field 0311 ‘Economics’. </div><br />,1,,,,0,null,,35,,
ISCED-F 031,ISCED-F 0313,0313 Psychology,"<p></p><div><b>Psychology</b> is  the  study  of  the  human  mind  and  behaviour  as  a result  of  individual differences, experience and environment.  </div><div><br />Programmes and qualifications with the following main content are classified here: </div><ul><li>Cognitive science </li><li>Psychoanalysis </li><li>Psychology </li><li>Psychotherapy </li></ul><p><br /></p>",1,,,,0,null,,36,,
